 16 52 54.8    -08 18 15.    -0.812 -0.870   16.66     20863
 17 08 35.4    +41 43 08.    -0.012  0.088   13.39     21076
 17 18 00.308  -21 03 39.75   0.232 -0.206    4.41     21541
 17 30 53.835  -43 07 36.81   0.006 -0.009    8.83     22614
 17 35 13.2    +27 55 25.    -0.088  0.255   11.75     23058
 17 41 39.8    -00 01 09.     0.0    0.0     11.75     23673
 18 02 55.6    +02 30 35.     0.265 -1.093    5.99     24260
 19 30 04.9    -52 32 39.    -0.004 -0.260   12.80     24807
 19 43 42.6    +27 00 54.    -0.043 -1.225   11.7      24878
 19 48 20.643   08 44 05.68   0.538  0.387    0.82     24910
 20 09 35.713   38 14 54.45   0.037  0.117    7.95     25044
 20 39 39.3    -68 16 02.     0.167 -0.186   13.25     25258
 20 43 18.1    +10 06 30.    -0.183 -0.531   13.76     25327
 20 48 18.297   43 52 12.46   0.125  0.135    1.5      25361
 21 21 50.286   60 51 15.00   0.161  0.062    8.5      25584
 22 26 15.5    -13 39 50.    -0.317 -1.036   17.14     25910
 23 02 23.812   53 45 19.02   0.072  0.114    8.60     26010
 23 13 13.945  -09 21 04.33   0.384 -0.009    9.16     26048
 23 40 32.6    +36 15 41.     0.927 -0.130   12.57     26133
